elapsed_seconds,cycle,used_js_heap_bytes,total_js_heap_bytes
0.3,1,3630210,7358298
5.4,1,26883894,95144402
5.6,2,26959060,95141928
10.3,2,27539070,96197090
10.4,3,27537042,96194594
17.7,3,28086448,96979732
17.8,4,28128204,96982228
22.5,4,28804931,97671163
22.7,5,28797591,97668667
27.3,5,28714083,96200023
27.5,6,28700163,96197527
34.7,6,28887394,97244222
34.9,7,28890578,97246718
39.5,7,29514663,98459943
39.7,8,29506615,98195303
44.4,8,29538759,97775155
44.6,9,29532115,97772659
51.8,9,29713901,97508725
51.9,10,29720541,97511221
56.6,10,30253017,97937865
56.8,11,30247633,97935369
61.5,11,30398154,99251954
61.7,12,30393454,98987314
68.9,12,30552255,99247691
69.1,13,30559355,99250187
73.7,13,30793339,97678027
73.9,14,30797652,97675500
78.6,14,30961404,98992096
78.8,15,30955720,98989600
86,15,31075422,99252642
86.1,16,31078930,99252642
90.8,16,31357813,100039109
91,17,31337933,100036613
95.6,17,31585349,100205469
95.8,18,31584145,100202973
102.9,18,31334602,101707746
103.1,19,31314770,101710242
107.8,19,31878701,102136261
108,20,31878873,102133765
112.7,20,32177905,101876637
112.9,21,32156621,101874141
120,21,32253241,102920193
120.2,22,32249570,102922658
124.9,22,32431353,103971269
125.1,23,32418841,103968773
129.7,23,32590937,103449501
129.9,24,32586889,103447005
137.1,24,32688206,102133730
137.3,25,32676366,102136226
142,25,32943517,103709125
142.2,26,32940409,103706629
146.8,26,33115533,103613341
147,27,33095965,103610845
154.1,27,32841906,102758818
154.3,28,32840438,102758818
158.9,28,33066461,102758853
159.1,29,33045293,102756357
163.8,29,33231837,104334237
164,30,33231233,104331741
171.2,30,33297262,103804898
171.3,31,33295818,103807394
176,31,33812948,105282020
176.2,32,33799957,105279493
180.9,32,33933705,104498077
181.1,33,33912345,104495581
188.3,33,34027902,104495522
188.4,34,34030186,104495522
193.1,34,34219145,105019845
193.3,35,34197969,105017349
198,35,34327073,104498077
198.2,36,34330613,104495581
205.4,36,34389733,105803777
205.6,37,34377882,105806242
210.3,37,34590553,105019845
210.4,38,34585377,105017349
215.2,38,34748405,106234781
215.3,39,34736105,106232285
222.5,39,34218598,105377762
222.7,40,34224258,105380258
227.4,40,34148681,105380293
227.6,41,34138801,105377797
232.3,41,34562217,105808797
232.5,42,34562505,105806301
239.7,42,34593746,106328034
239.9,43,34591426,106330530
244.5,43,34791789,106330565
244.7,44,34792341,106328069
249.4,44,34866761,106857373
249.6,45,34858529,106854877
256.8,45,34938513,106330561
257,46,34932954,106330530
261.7,46,35229658,107641302
261.9,47,35217322,107638806
266.6,47,35213386,106857390
266.8,48,35211550,106854894
274,48,35236582,106328034
274.2,49,35233086,106330530
278.9,49,35477493,107018693
279.1,50,35477445,107016197
283.7,50,35555064,106234812
283.9,51,35537837,106232285
291.1,51,35614870,106494370
291.3,52,35616102,106494370
296,52,35798737,107280837
296.2,53,35786365,107278341
300.9,53,35902941,108331933
301.1,54,35902437,108329437
308.2,54,36015252,107802608
308.4,55,35935810,107805090
313.1,55,36129853,108591557
313.3,56,36127741,108589061
318,56,36418004,108856236
318.2,57,36408884,108853740
325.4,57,36288994,108851170
325.6,58,36294650,108853666
330.3,58,36462905,109115845
330.5,59,36506730,109115898
335.3,59,36715340,108331948
335.4,60,36564749,108329437
342.7,60,36602982,109113314
342.9,61,36594438,109115810
347.5,61,36789057,108591557
347.7,62,36787893,108589061
352.4,62,36863309,109380509
352.6,63,36855521,109378013
359.8,63,36927642,109899746
360,64,36933610,109902242
364.7,64,37097121,111475141
364.9,65,37086333,110948357
369.7,65,37198009,109904797
369.9,66,37198909,109902301
377.1,66,37223910,110686178
377.3,67,37220718,110688674
382,67,37422361,109902277
382.1,68,37419445,109899781
386.9,68,37495609,108069789
387,69,37484725,108067293
394.3,69,37558830,109640098
394.5,70,37561242,109640098
399.2,70,37712805,108591557
399.4,71,37765778,108591610
404.1,71,37823609,109642653
404.2,72,37824441,109640157
411.4,72,37867358,109640098
411.6,73,37859494,109640098
416.3,73,38068149,110688709
416.5,74,38064561,110686213
421.2,74,38289024,110691244
421.4,75,38327609,110691297
428.6,75,38220130,110688674
428.8,76,38221534,110688674
433.5,76,38399557,110688709
433.7,77,38392653,110686213
438.4,77,38495109,109904797
438.6,78,38492329,109902301
445.8,78,38743396,110424052
446,79,38740444,110426548
450.7,79,38720017,109377989
450.8,80,38717505,109375493
455.6,80,38790417,110953373
455.8,81,38825002,110953426
463,81,38855958,110426530
463.2,82,38862066,110426530
468,82,39022223,111737295
468.2,83,39061208,111737348
