elapsed_seconds,cycle,used_js_heap_bytes,total_js_heap_bytes
11.1,1,19692182,28357138
22.8,2,16464925,32210213
36.9,3,15028270,32106066
48.2,4,15482110,22514202
59.2,5,18747995,23180787
72.7,6,15955816,25974092
83.2,7,17146557,26111805
94.3,8,18769844,25706892
108.2,9,20757314,28483022
118.9,10,19611301,28814773
129.3,11,22239360,28743940
141.4,12,28456822,34446742
152.2,13,25058266,41377254
163.5,14,24891782,31337498
176.8,15,24266468,34406120
184.7,16,23774060,38988040
186.3,17,29209601,40562869
187.9,18,28286073,41788505
189.4,19,28090656,42231216
191,20,27895956,42231404
192.6,21,27475414,42493746
194.1,22,27310768,42493924
195.7,23,32710678,42494102
197.2,24,32346880,43542856
198.8,25,31967738,44067322
200.4,26,25768083,42753735
202,27,31182886,44064898
203.6,28,36596664,49307956
205.1,29,29807010,49570278
206.7,30,35214648,54551192
208.2,31,23180682,24860746
209.8,32,24228130,27746114
211.3,33,24160463,29057027
212.8,34,25235215,31154367
214.4,35,27888359,33513847
216,36,27609955,34300463
217.5,37,27287131,34841319
219,38,27069323,35365791
220.6,39,26044614,34578114
222.2,40,25438005,37986437
223.7,41,25158106,41132514
225.3,42,24922492,41132708
226.9,43,30309752,41132892
228.4,44,29879380,41657364
230,45,29481508,41657548
231.5,46,29089748,41919876
233.1,47,28736388,42493500
234.6,48,28494516,43280116
236.2,49,33882988,43280300
237.7,50,26107861,43015877
239.3,51,31497013,44851333
240.9,52,24694809,49570109
242.4,53,30094261,49570293
244,54,35499925,54551213
245.6,55,29604542,55862282
247.1,56,34973304,55862476
248.7,57,28691332,56124804
250.2,58,34054276,56124988
251.8,59,39423600,56649460
253.3,60,33222084,56649644
254.9,61,38581464,56649828
256.5,62,26208577,55598789
258,63,31589365,55599237
259.5,64,24793869,55599421
261.1,65,30137821,55599605
262.6,66,35484617,55599789
264.2,67,29224062,56124426
265.7,68,34563360,56386764
267.2,69,28127164,56386948
268.8,70,33470460,56387132
270.4,71,38826248,56387316
271.9,72,32439000,56911788
273.5,73,37783552,56911972
275,74,25001493,56384981
276.6,75,30359266,56385606
278.1,76,35697582,56385790
279.7,77,26214627,51928595
281.2,78,31578534,51929046
282.8,79,36920566,52191374
284.3,80,42258154,57434438
285.9,81,47613738,62939646
287.4,82,28120926,65823414
289,83,33444990,66085742
290.5,84,38781018,67134502
292.1,85,44133682,72639710
293.6,86,49449302,77882774
295.2,87,31599675,82339571
296.8,88,36915361,82601909
298.3,89,23539808,81811900
299.9,90,28903485,81813537
301.4,91,34262649,81813721
303,92,39602633,81813905
304.5,93,44946085,81814089
306.1,94,50279809,81814273
307.6,95,30790721,82076601
309.2,96,36129393,82076785
310.7,97,41463593,82076969
312.2,98,46804413,82077153
313.8,99,28746622,82601790
315.3,100,34061844,82601984
316.8,101,39368024,82602168
318.4,102,25046453,81812949
319.9,103,30363662,81813574
321.5,104,35675514,81813758
323.1,105,40989954,81813942
324.7,106,46307462,81814126
326.2,107,26738406,81814310
327.8,108,32036670,81814494
329.4,109,37343466,81814678
330.9,110,42667490,81814862
332.4,111,47946998,81815046
334,112,30112222,83388254
335.6,113,35389081,83650597
337.1,114,40707361,83650781
338.7,115,26286310,83123906
340.2,116,31580141,83124357
341.7,117,36884741,83124541
343.3,118,42177869,83124725
344.8,119,47471393,83124909
346.4,120,28004377,83125093
347.9,121,33299849,83125277
349.4,122,38599141,83125461
351,123,43840273,83125645
352.5,124,49091029,83125829
354,125,31235870,83912610
355.5,126,36482336,83912804
357,127,41722100,83912988
358.6,128,26258089,82075333
360.1,129,31508481,82075781
361.6,130,36754669,82075965
363.2,131,41998033,82076149
364.7,132,47239041,82076333
366.2,133,27790665,82076517
367.8,134,33033185,82076701
369.3,135,38274657,82076885
370.8,136,43520933,82077069
372.4,137,48765653,82077253
373.9,138,30754081,82864029
375.4,139,35993332,82864228
377,140,41232080,82864412
378.5,141,26245349,82337413
380,142,31484848,82337864
381.5,143,36732016,82338048
383.1,144,41956652,82338232
384.6,145,47170632,82338416
386.1,146,27672756,82338600
387.7,147,32882276,82338784
389.2,148,38088276,82338968
390.7,149,43292476,82339152
392.2,150,48498404,82339336
393.8,151,30446213,83650405
395.3,152,35666231,83912743
396.9,153,40871891,83912927
398.5,154,26230104,82599560
400,155,31458260,82600008
401.6,156,36687832,82600192
403.1,157,41914200,82600376
404.7,158,47155588,82600560
406.2,159,27619296,82600744
407.7,160,32799376,82600928
409.3,161,37978148,82601112
410.8,162,43163952,82601296
412.4,163,48348076,82601480
413.9,164,30417300,83650400
415.5,165,35596843,83650599
417.1,166,40778419,83650783
418.6,167,25027681,82861461
420.2,168,30212625,82862089
421.7,169,35389085,82862273
423.3,170,40558633,82862457
424.9,171,45728513,82862641
426.4,172,26251961,82862825
428,173,31452037,82863009
429.6,174,36621373,82863193
431.1,175,41791841,82863377
432.7,176,46956117,82863561
434.3,177,29079258,83650342
435.8,178,34249676,83650536
437.4,179,39419768,83650720
438.9,180,23574874,82860418
440.5,181,28787448,82862052
442.1,182,33983816,82862236
443.6,183,39143812,82862420
445.2,184,44306344,82862604
446.7,185,49466196,82862788
448.3,186,29902928,82862972
449.8,187,35056900,82863156
451.4,188,40217116,82863340
453,189,45375152,82863524
454.6,190,50532904,82863708
456.1,191,32386325,83650489
457.7,192,37542739,83650683
459.3,193,42705487,83650867
460.8,194,26217220,82599560
462.4,195,31390312,82600008
464,196,36565268,82600192
465.5,197,41728128,82600376
467.1,198,46896220,82600560
468.7,199,27163996,82600744
470.2,200,32324976,82600928
471.8,201,37488568,82601112
473.3,202,42655772,82601296
474.9,203,47855940,82601480
476.5,204,30016320,83126112
478,205,35153907,83126311
479.6,206,40303391,83126495
481.1,207,26227249,82337413
482.6,208,31372216,82337864
484.2,209,36511452,82338048
485.8,210,41662424,82338232
487.4,211,46807844,82338416
488.9,212,27164732,82338600
490.5,213,32312100,82338784
492,214,37454196,82338968
493.6,215,42595844,82339152
495.1,216,47742808,82339336
496.7,217,29563321,83126117
498.3,218,34690531,83126311
499.8,219,39823647,83126495
501.4,220,26239616,82599560
502.9,221,31394164,82600008
504.5,222,36536328,82600192
506.1,223,41675368,82600376
507.6,224,46816632,82600560
509.2,225,27255256,82600744
510.7,226,32402188,82600928
512.4,227,37525624,82601112
513.9,228,42671844,82601296
515.5,229,47804628,82601480
517.1,230,29690924,83126112
518.6,231,34820891,83126311
520.2,232,39980691,83126495
521.8,233,25068673,82599321
523.3,234,30227073,82599945
524.9,235,35364649,82600129
526.4,236,40502945,82600313
528,237,45641969,82600497
529.5,238,50783561,82600681
531.1,239,31119637,82600865
532.6,240,36259829,82601049
534.2,241,41402565,82601233
535.8,242,46542237,82601417
537.3,243,28631249,83912321
538.9,244,33770388,83912668
540.5,245,38910252,83912864
542,246,25063992,82599320
543.6,247,30223321,82599945
545.2,248,35365861,82600129
546.7,249,40507217,82600313
548.3,250,45647785,82600497
549.8,251,50798965,82600681
551.4,252,31150141,82600865
552.9,253,36298593,82601049
554.5,254,41450185,82601233
556.1,255,46585829,82601417
557.6,256,28677109,83650177
559.2,257,33813477,83650529
560.8,258,38953392,83650720
562.3,259,26254777,82599557
563.9,260,31399020,82600008
565.4,261,36538652,82600192
566.9,262,41706212,82600376
568.5,263,46840592,82600560
570,264,27105548,82600744
571.6,265,32239000,82600928
573.1,266,37373348,82601112
574.7,267,42517964,82863440
576.2,268,47653000,82863624
577.8,269,29612113,83388261
579.3,270,34749895,83388455
580.9,271,39895595,83388639
582.4,272,26264680,83385992
584,273,31408568,83386440
585.6,274,36547420,83386624
587.1,275,41686680,83386808
588.7,276,46826684,83386992
590.2,277,27264616,83387176
591.8,278,32411172,83387360
593.4,279,37551824,83387544
594.9,280,42700764,83387728
596.5,281,47843420,83387912
598.1,282,29661472,83388256
599.6,283,34798911,83388455
601.2,284,39937231,83388639
